"時点","地域コード","地域","総人口（総数）【人】","注記"
"1977年","31000","鳥取県","591000",""
"1978年","31000","鳥取県","595000",""
"1979年","31000","鳥取県","600000",""
"1980年","31000","鳥取県","604221",""
"1981年","31000","鳥取県","607000",""
"1982年","31000","鳥取県","610000",""
"1983年","31000","鳥取県","612000",""
"1984年","31000","鳥取県","614000",""
"1985年","31000","鳥取県","616024",""
"1986年","31000","鳥取県","616000",""
"1987年","31000","鳥取県","616000",""
"1988年","31000","鳥取県","617000",""
"1989年","31000","鳥取県","616000",""
"1990年","31000","鳥取県","615722",""
"1991年","31000","鳥取県","615000",""
"1992年","31000","鳥取県","615000",""
"1993年","31000","鳥取県","614000",""
"1994年","31000","鳥取県","614000",""
"1995年","31000","鳥取県","614929",""
"1996年","31000","鳥取県","615000",""
"1997年","31000","鳥取県","614000",""
"1998年","31000","鳥取県","615000",""
"1999年","31000","鳥取県","614000",""
"2000年","31000","鳥取県","613289",""
"2001年","31000","鳥取県","613000",""
"2002年","31000","鳥取県","612000",""
"2003年","31000","鳥取県","611000",""
"2004年","31000","鳥取県","610000",""
"2005年","31000","鳥取県","607012",""
"2006年","31000","鳥取県","604000",""
"2007年","31000","鳥取県","601000",""
"2008年","31000","鳥取県","596000",""
"2009年","31000","鳥取県","592000",""
"2010年","31000","鳥取県","588667",""
"2011年","31000","鳥取県","586000",""
"2012年","31000","鳥取県","583000",""
"2013年","31000","鳥取県","580000",""
"2014年","31000","鳥取県","577000",""
"2015年","31000","鳥取県","573441",""
"2016年","31000","鳥取県","570000",""
"2017年","31000","鳥取県","566000",""
"2018年","31000","鳥取県","562000",""
"2019年","31000","鳥取県","557000",""
"2020年","31000","鳥取県","553407",""
"2021年","31000","鳥取県","549000",""
"2022年","31000","鳥取県","544000",""
"2023年","31000","鳥取県","537000",""
"2024年","31000","鳥取県","531000",""
"2025年","31000","鳥取県","523732","速報"
"1975年","32000","島根県","768886",""
"1976年","32000","島根県","771000",""
"1977年","32000","島根県","775000",""
"1978年","32000","島根県","779000",""
"1979年","32000","島根県","782000",""
"1980年","32000","島根県","784795",""
"1981年","32000","島根県","787000",""
"1982年","32000","島根県","790000",""
"1983年","32000","島根県","790000",""
"1984年","32000","島根県","793000",""
"1985年","32000","島根県","794629",""
"1986年","32000","島根県","793000",""
"1987年","32000","島根県","792000",""
"1988年","32000","島根県","789000",""
"1989年","32000","島根県","785000",""
"1990年","32000","島根県","781021",""
"1991年","32000","島根県","778000",""
"1992年","32000","島根県","775000",""
"1993年","32000","島根県","773000",""
"1994年","32000","島根県","772000",""
"1995年","32000","島根県","771441",""
"1996年","32000","島根県","770000",""
"1997年","32000","島根県","768000",""
"1998年","32000","島根県","765000",""
"1999年","32000","島根県","763000",""
"2000年","32000","島根県","761503",""
"2001年","32000","島根県","760000",""
"2002年","32000","島根県","756000",""
"2003年","32000","島根県","752000",""
"2004年","32000","島根県","747000",""
"2005年","32000","島根県","742223",""
"2006年","32000","島根県","737000",""
"2007年","32000","島根県","733000",""
"2008年","32000","島根県","727000",""
"2009年","32000","島根県","721000",""
"2010年","32000","島根県","717397",""
"2011年","32000","島根県","713000",""
"2012年","32000","島根県","708000",""
"2013年","32000","島根県","704000",""
"2014年","32000","島根県","699000",""
"2015年","32000","島根県","694352",""
"2016年","32000","島根県","691000",""
"2017年","32000","島根県","687000",""
"2018年","32000","島根県","682000",""
"2019年","32000","島根県","677000",""
"2020年","32000","島根県","671126",""
"2021年","32000","島根県","665000",""
"2022年","32000","島根県","658000",""
"2023年","32000","島根県","650000",""
"2024年","32000","島根県","642000",""
"2025年","32000","島根県","629460","速報"
"1975年","33000","岡山県","1814305",""
"1976年","33000","岡山県","1829000",""
"1977年","33000","岡山県","1840000",""
"1978年","33000","岡山県","1850000",""
"1979年","33000","岡山県","1861000",""
"1980年","33000","岡山県","1871023",""
"1981年","33000","岡山県","1881000",""
"1982年","33000","岡山県","1891000",""
"1983年","33000","岡山県","1901000",""
"1984年","33000","岡山県","1909000",""
"1985年","33000","岡山県","1916906",""
"1986年","33000","岡山県","1921000",""
"1987年","33000","岡山県","1924000",""
"1988年","33000","岡山県","1925000",""
"1989年","33000","岡山県","1925000",""
"1990年","33000","岡山県","1925877",""
"1991年","33000","岡山県","1930000",""
"1992年","33000","岡山県","1935000",""
"1993年","33000","岡山県","1940000",""
"1994年","33000","岡山県","1945000",""
"1995年","33000","岡山県","1950750",""
"1996年","33000","岡山県","1951000",""
"1997年","33000","岡山県","1952000",""
"1998年","33000","岡山県","1953000",""
"1999年","33000","岡山県","1953000",""
"2000年","33000","岡山県","1950828",""
"2001年","33000","岡山県","1954000",""
"2002年","33000","岡山県","1956000",""
"2003年","33000","岡山県","1958000",""
"2004年","33000","岡山県","1959000",""
"2005年","33000","岡山県","1957264",""
"2006年","33000","岡山県","1956000",""
"2007年","33000","岡山県","1956000",""
"2008年","33000","岡山県","1953000",""
"2009年","33000","岡山県","1949000",""
"2010年","33000","岡山県","1945276",""
"2011年","33000","岡山県","1941000",""
"2012年","33000","岡山県","1937000",""
"2013年","33000","岡山県","1932000",""
"2014年","33000","岡山県","1926000",""
"2015年","33000","岡山県","1921525",""
"2016年","33000","岡山県","1917000",""
"2017年","33000","岡山県","1911000",""
"2018年","33000","岡山県","1904000",""
"2019年","33000","岡山県","1897000",""
"2020年","33000","岡山県","1888432",""
"2021年","33000","岡山県","1876000",""
"2022年","33000","岡山県","1862000",""
"2023年","33000","岡山県","1847000",""
"2024年","33000","岡山県","1831000",""
"2025年","33000","岡山県","1808664","速報"
"1975年","34000","広島県","2646324",""
"1976年","34000","広島県","2670000",""
"1977年","34000","広島県","2689000",""
"1978年","34000","広島県","2703000",""
"1979年","34000","広島県","2717000",""
"1980年","34000","広島県","2739161",""
"1981年","34000","広島県","2761000",""
"1982年","34000","広島県","2777000",""
"1983年","34000","広島県","2793000",""
"1984年","34000","広島県","2807000",""
"1985年","34000","広島県","2819200",""
"1986年","34000","広島県","2829000",""
"1987年","34000","広島県","2834000",""
"1988年","34000","広島県","2838000",""
"1989年","34000","広島県","2843000",""
"1990年","34000","広島県","2849847",""
"1991年","34000","広島県","2859000",""
"1992年","34000","広島県","2867000",""
"1993年","34000","広島県","2873000",""
"1994年","34000","広島県","2877000",""
"1995年","34000","広島県","2881748",""
"1996年","34000","広島県","2881000",""
"1997年","34000","広島県","2882000",""
"1998年","34000","広島県","2882000",""
"1999年","34000","広島県","2881000",""
"2000年","34000","広島県","2878915",""
"2001年","34000","広島県","2880000",""
"2002年","34000","広島県","2878000",""
"2003年","34000","広島県","2879000",""
"2004年","34000","広島県","2879000",""
"2005年","34000","広島県","2876642",""
"2006年","34000","広島県","2875000",""
"2007年","34000","広島県","2874000",""
"2008年","34000","広島県","2870000",""
"2009年","34000","広島県","2864000",""
"2010年","34000","広島県","2860750",""
"2011年","34000","広島県","2858000",""
"2012年","34000","広島県","2855000",""
"2013年","34000","広島県","2850000",""
"2014年","34000","広島県","2846000",""
"2015年","34000","広島県","2843990",""
"2016年","34000","広島県","2840000",""
"2017年","34000","広島県","2833000",""
"2018年","34000","広島県","2824000",""
"2019年","34000","広島県","2813000",""
"2020年","34000","広島県","2799702",""
"2021年","34000","広島県","2780000",""
"2022年","34000","広島県","2760000",""
"2023年","34000","広島県","2738000",""
"2024年","34000","広島県","2714000",""
"2025年","34000","広島県","2683399","速報"
"1975年","35000","山口県","1555218",""
"1976年","35000","山口県","1564000",""
"1977年","35000","山口県","1573000",""
"1978年","35000","山口県","1579000",""
"1979年","35000","山口県","1583000",""
"1980年","35000","山口県","1587079",""
"1981年","35000","山口県","1592000",""
"1982年","35000","山口県","1597000",""
"1983年","35000","山口県","1600000",""
"1984年","35000","山口県","1601000",""
"1985年","35000","山口県","1601627",""
"1986年","35000","山口県","1598000",""
"1987年","35000","山口県","1592000",""
"1988年","35000","山口県","1587000",""
"1989年","35000","山口県","1581000",""
"1990年","35000","山口県","1572616",""
"1991年","35000","山口県","1569000",""
"1992年","35000","山口県","1565000",""
"1993年","35000","山口県","1561000",""
"1994年","35000","山口県","1559000",""
"1995年","35000","山口県","1555543",""
"1996年","35000","山口県","1550000",""
"1997年","35000","山口県","1545000",""
"1998年","35000","山口県","1540000",""
"1999年","35000","山口県","1535000",""
"2000年","35000","山口県","1527964",""
"2001年","35000","山口県","1523000",""
"2002年","35000","山口県","1517000",""
"2003年","35000","山口県","1510000",""
"2004年","35000","山口県","1502000",""
"2005年","35000","山口県","1492606",""
"2006年","35000","山口県","1484000",""
"2007年","35000","山口県","1476000",""
"2008年","35000","山口県","1466000",""
"2009年","35000","山口県","1459000",""
"2010年","35000","山口県","1451338",""
"2011年","35000","山口県","1444000",""
"2012年","35000","山口県","1434000",""
"2013年","35000","山口県","1425000",""
"2014年","35000","山口県","1415000",""
"2015年","35000","山口県","1404729",""
"2016年","35000","山口県","1394000",""
"2017年","35000","山口県","1382000",""
"2018年","35000","山口県","1369000",""
"2019年","35000","山口県","1357000",""
"2020年","35000","山口県","1342059",""
"2021年","35000","山口県","1328000",""
"2022年","35000","山口県","1313000",""
"2023年","35000","山口県","1298000",""
"2024年","35000","山口県","1281000",""
"2025年","35000","山口県","1264006","速報"
"1975年","36000","徳島県","805166",""
"1976年","36000","徳島県","809000",""
"1977年","36000","徳島県","813000",""
"1978年","36000","徳島県","818000",""
"1979年","36000","徳島県","822000",""
"1980年","36000","徳島県","825261",""
"1981年","36000","徳島県","827000",""
"1982年","36000","徳島県","830000",""
"1983年","36000","徳島県","831000",""
"1984年","36000","徳島県","834000",""
"1985年","36000","徳島県","834889",""
"1986年","36000","徳島県","835000",""
"1987年","36000","徳島県","835000",""
"1988年","36000","徳島県","834000",""
"1989年","36000","徳島県","833000",""
"1990年","36000","徳島県","831598",""
"1991年","36000","徳島県","831000",""
"1992年","36000","徳島県","830000",""
"1993年","36000","徳島県","831000",""
"1994年","36000","徳島県","830000",""
"1995年","36000","徳島県","832427",""
"1996年","36000","徳島県","831000",""
"1997年","36000","徳島県","830000",""
"1998年","36000","徳島県","829000",""
"1999年","36000","徳島県","827000",""
"2000年","36000","徳島県","824108",""
"2001年","36000","徳島県","822000",""
"2002年","36000","徳島県","820000",""
"2003年","36000","徳島県","818000",""
"2004年","36000","徳島県","814000",""
"2005年","36000","徳島県","809950",""
"2006年","36000","徳島県","806000",""
"2007年","36000","徳島県","800000",""
"2008年","36000","徳島県","795000",""
"2009年","36000","徳島県","790000",""
"2010年","36000","徳島県","785491",""
"2011年","36000","徳島県","780000",""
"2012年","36000","徳島県","775000",""
"2013年","36000","徳島県","769000",""
"2014年","36000","徳島県","763000",""
"2015年","36000","徳島県","755733",""
"2016年","36000","徳島県","750000",""
"2017年","36000","徳島県","744000",""
"2018年","36000","徳島県","736000",""
"2019年","36000","徳島県","728000",""
"2020年","36000","徳島県","719559",""
"2021年","36000","徳島県","712000",""
"2022年","36000","徳島県","704000",""
"2023年","36000","徳島県","695000",""
"2024年","36000","徳島県","685000",""
"2025年","36000","徳島県","675489","速報"
"1975年","37000","香川県","961292",""
"1976年","37000","香川県","970000",""
"1977年","37000","香川県","979000",""
"1978年","37000","香川県","986000",""
"1979年","37000","香川県","993000",""
"1980年","37000","香川県","999864",""
"1981年","37000","香川県","1005000",""
"1982年","37000","香川県","1010000",""
"1983年","37000","香川県","1014000",""
"1984年","37000","香川県","1018000",""
"1985年","37000","香川県","1022569",""
"1986年","37000","香川県","1024000",""
"1987年","37000","香川県","1024000",""
"1988年","37000","香川県","1025000",""
"1989年","37000","香川県","1023000",""
"1990年","37000","香川県","1023412",""
"1991年","37000","香川県","1023000",""
"1992年","37000","香川県","1024000",""
"1993年","37000","香川県","1025000",""
"1994年","37000","香川県","1026000",""
"1995年","37000","香川県","1027006",""
"1996年","37000","香川県","1027000",""
"1997年","37000","香川県","1026000",""
"1998年","37000","香川県","1025000",""
"1999年","37000","香川県","1025000",""
"2000年","37000","香川県","1022890",""
"2001年","37000","香川県","1022000",""
"2002年","37000","香川県","1020000",""
"2003年","37000","香川県","1018000",""
"2004年","37000","香川県","1016000",""
"2005年","37000","香川県","1012400",""
"2006年","37000","香川県","1009000",""
"2007年","37000","香川県","1006000",""
"2008年","37000","香川県","1003000",""
"2009年","37000","香川県","999000",""
"2010年","37000","香川県","995842",""
"2011年","37000","香川県","992000",""
"2012年","37000","香川県","989000",""
"2013年","37000","香川県","985000",""
"2014年","37000","香川県","980000",""
"2015年","37000","香川県","976263",""
"2016年","37000","香川県","973000",""
"2017年","37000","香川県","968000",""
"2018年","37000","香川県","963000",""
"2019年","37000","香川県","958000",""
"2020年","37000","香川県","950244",""
"2021年","37000","香川県","942000",""
"2022年","37000","香川県","934000",""
"2023年","37000","香川県","926000",""
"2024年","37000","香川県","917000",""
"2025年","37000","香川県","907725","速報"
"1975年","38000","愛媛県","1465215",""
"1976年","38000","愛媛県","1476000",""
"1977年","38000","愛媛県","1486000",""
"1978年","38000","愛媛県","1493000",""
"1979年","38000","愛媛県","1500000",""
"1980年","38000","愛媛県","1506637",""
"1981年","38000","愛媛県","1512000",""
"1982年","38000","愛媛県","1517000",""
"1983年","38000","愛媛県","1522000",""
"1984年","38000","愛媛県","1526000",""
"1985年","38000","愛媛県","1529983",""
"1986年","38000","愛媛県","1528000",""
"1987年","38000","愛媛県","1525000",""
"1988年","38000","愛媛県","1522000",""
"1989年","38000","愛媛県","1519000",""
"1990年","38000","愛媛県","1515025",""
"1991年","38000","愛媛県","1513000",""
"1992年","38000","愛媛県","1511000",""
"1993年","38000","愛媛県","1508000",""
"1994年","38000","愛媛県","1508000",""
"1995年","38000","愛媛県","1506700",""
"1996年","38000","愛媛県","1505000",""
"1997年","38000","愛媛県","1503000",""
"1998年","38000","愛媛県","1501000",""
"1999年","38000","愛媛県","1496000",""
"2000年","38000","愛媛県","1493092",""
"2001年","38000","愛媛県","1490000",""
"2002年","38000","愛媛県","1485000",""
"2003年","38000","愛媛県","1481000",""
"2004年","38000","愛媛県","1475000",""
"2005年","38000","愛媛県","1467815",""
"2006年","38000","愛媛県","1460000",""
"2007年","38000","愛媛県","1453000",""
"2008年","38000","愛媛県","1445000",""
"2009年","38000","愛媛県","1438000",""
"2010年","38000","愛媛県","1431493",""
"2011年","38000","愛媛県","1424000",""
"2012年","38000","愛媛県","1415000",""
"2013年","38000","愛媛県","1406000",""
"2014年","38000","愛媛県","1396000",""
"2015年","38000","愛媛県","1385262",""
"2016年","38000","愛媛県","1377000",""
"2017年","38000","愛媛県","1368000",""
"2018年","38000","愛媛県","1357000",""
"2019年","38000","愛媛県","1346000",""
"2020年","38000","愛媛県","1334841",""
"2021年","38000","愛媛県","1321000",""
"2022年","38000","愛媛県","1306000",""
"2023年","38000","愛媛県","1291000",""
"2024年","38000","愛媛県","1276000",""
"2025年","38000","愛媛県","1260088","速報"
"1975年","39000","高知県","808397",""
"1976年","39000","高知県","814000",""
"1977年","39000","高知県","819000",""
"1978年","39000","高知県","824000",""
"1979年","39000","高知県","829000",""
"1980年","39000","高知県","831275",""
"1981年","39000","高知県","833000",""
"1982年","39000","高知県","836000",""
"1983年","39000","高知県","838000",""
"1984年","39000","高知県","839000",""
"1985年","39000","高知県","839784",""
"1986年","39000","高知県","838000",""
"1987年","39000","高知県","836000",""
"1988年","39000","高知県","833000",""
"1989年","39000","高知県","830000",""
"1990年","39000","高知県","825034",""
"1991年","39000","高知県","822000",""
"1992年","39000","高知県","819000",""
"1993年","39000","高知県","817000",""
"1994年","39000","高知県","817000",""
"1995年","39000","高知県","816704",""
"1996年","39000","高知県","816000",""
"1997年","39000","高知県","816000",""
"1998年","39000","高知県","816000",""
"1999年","39000","高知県","815000",""
"2000年","39000","高知県","813949",""
"2001年","39000","高知県","812000",""
"2002年","39000","高知県","810000",""
"2003年","39000","高知県","806000",""
"2004年","39000","高知県","802000",""
"2005年","39000","高知県","796292",""
"2006年","39000","高知県","790000",""
"2007年","39000","高知県","783000",""
"2008年","39000","高知県","775000",""
"2009年","39000","高知県","769000",""
"2010年","39000","高知県","764456",""
"2011年","39000","高知県","758000",""
"2012年","39000","高知県","751000",""
"2013年","39000","高知県","743000",""
"2014年","39000","高知県","736000",""
"2015年","39000","高知県","728276",""
"2016年","39000","高知県","721000",""
"2017年","39000","高知県","714000",""
"2018年","39000","高知県","707000",""
"2019年","39000","高知県","699000",""
"2020年","39000","高知県","691527",""
"2021年","39000","高知県","684000",""
"2022年","39000","高知県","676000",""
"2023年","39000","高知県","666000",""
"2024年","39000","高知県","656000",""
"2025年","39000","高知県","643437","速報"
"1975年","40000","福岡県","4292963",""
"1976年","40000","福岡県","4353000",""
"1977年","40000","福岡県","4411000",""
"1978年","40000","福岡県","4460000",""
"1979年","40000","福岡県","4506000",""
"1980年","40000","福岡県","4553461",""
"1981年","40000","福岡県","4594000",""
"1982年","40000","福岡県","4632000",""
"1983年","40000","福岡県","4667000",""
"1984年","40000","福岡県","4697000",""
"1985年","40000","福岡県","4719259",""
"1986年","40000","福岡県","4741000",""
"1987年","40000","福岡県","4756000",""
"1988年","40000","福岡県","4773000",""
"1989年","40000","福岡県","4793000",""
"1990年","40000","福岡県","4811050",""
"1991年","40000","福岡県","4834000",""
"1992年","40000","福岡県","4859000",""
"1993年","40000","福岡県","4885000",""
"1994年","40000","福岡県","4909000",""
"1995年","40000","福岡県","4933393",""
"1996年","40000","福岡県","4952000",""
"1997年","40000","福岡県","4971000",""
"1998年","40000","福岡県","4990000",""
"1999年","40000","福岡県","5002000",""
"2000年","40000","福岡県","5015699",""
"2001年","40000","福岡県","5030000",""
"2002年","40000","福岡県","5039000",""
"2003年","40000","福岡県","5045000",""
"2004年","40000","福岡県","5050000",""
"2005年","40000","福岡県","5049908",""
"2006年","40000","福岡県","5057000",""
"2007年","40000","福岡県","5061000",""
"2008年","40000","福岡県","5062000",""
"2009年","40000","福岡県","5064000",""
"2010年","40000","福岡県","5071968",""
"2011年","40000","福岡県","5081000",""
"2012年","40000","福岡県","5089000",""
"2013年","40000","福岡県","5096000",""
"2014年","40000","福岡県","5099000",""
"2015年","40000","福岡県","5101556",""
"2016年","40000","福岡県","5113000",""
"2017年","40000","福岡県","5123000",""
"2018年","40000","福岡県","5131000",""
"2019年","40000","福岡県","5134000",""
"2020年","40000","福岡県","5135214",""
"2021年","40000","福岡県","5124000",""
"2022年","40000","福岡県","5116000",""
"2023年","40000","福岡県","5103000",""
"2024年","40000","福岡県","5092000",""
"2025年","40000","福岡県","5081879","速報"
"1975年","41000","佐賀県","837674",""
"1976年","41000","佐賀県","842000",""
"1977年","41000","佐賀県","848000",""
"1978年","41000","佐賀県","854000",""
"1979年","41000","佐賀県","860000",""
"1980年","41000","佐賀県","865574",""
"1981年","41000","佐賀県","869000",""
"1982年","41000","佐賀県","873000",""
"1983年","41000","佐賀県","876000",""
"1984年","41000","佐賀県","878000",""
"1985年","41000","佐賀県","880013",""
"1986年","41000","佐賀県","880000",""
"1987年","41000","佐賀県","880000",""
"1988年","41000","佐賀県","880000",""
"1989年","41000","佐賀県","879000",""
"1990年","41000","佐賀県","877851",""
"1991年","41000","佐賀県","878000",""
"1992年","41000","佐賀県","879000",""
"1993年","41000","佐賀県","880000",""
"1994年","41000","佐賀県","883000",""
"1995年","41000","佐賀県","884316",""
"1996年","41000","佐賀県","884000",""
"1997年","41000","佐賀県","882000",""
"1998年","41000","佐賀県","881000",""
"1999年","41000","佐賀県","879000",""
"2000年","41000","佐賀県","876654",""
"2001年","41000","佐賀県","876000",""
"2002年","41000","佐賀県","874000",""
"2003年","41000","佐賀県","872000",""
"2004年","41000","佐賀県","870000",""
"2005年","41000","佐賀県","866369",""
"2006年","41000","佐賀県","863000",""
"2007年","41000","佐賀県","860000",""
"2008年","41000","佐賀県","856000",""
"2009年","41000","佐賀県","853000",""
"2010年","41000","佐賀県","849788",""
"2011年","41000","佐賀県","847000",""
"2012年","41000","佐賀県","845000",""
"2013年","41000","佐賀県","841000",""
"2014年","41000","佐賀県","837000",""
"2015年","41000","佐賀県","832832",""
"2016年","41000","佐賀県","829000",""
"2017年","41000","佐賀県","825000",""
"2018年","41000","佐賀県","821000",""
"2019年","41000","佐賀県","817000",""
"2020年","41000","佐賀県","811442",""
"2021年","41000","佐賀県","806000",""
"2022年","41000","佐賀県","801000",""
"2023年","41000","佐賀県","795000",""
"2024年","41000","佐賀県","788000",""
"2025年","41000","佐賀県","781214","速報"
"1975年","42000","長崎県","1571912",""
"1976年","42000","長崎県","1576000",""
"1977年","42000","長崎県","1582000",""
"1978年","42000","長崎県","1587000",""
"1979年","42000","長崎県","1588000",""
"1980年","42000","長崎県","1590564",""
"1981年","42000","長崎県","1594000",""
"1982年","42000","長崎県","1595000",""
"1983年","42000","長崎県","1596000",""
"1984年","42000","長崎県","1595000",""
"1985年","42000","長崎県","1593968",""
"1986年","42000","長崎県","1589000",""
"1987年","42000","長崎県","1584000",""
"1988年","42000","長崎県","1578000",""
"1989年","42000","長崎県","1570000",""
"1990年","42000","長崎県","1562959",""
"1991年","42000","長崎県","1557000",""
"1992年","42000","長崎県","1552000",""
"1993年","42000","長崎県","1550000",""
"1994年","42000","長崎県","1549000",""
"1995年","42000","長崎県","1544934",""
"1996年","42000","長崎県","1540000",""
"1997年","42000","長崎県","1533000",""
"1998年","42000","長崎県","1526000",""
"1999年","42000","長崎県","1520000",""
"2000年","42000","長崎県","1516523",""
"2001年","42000","長崎県","1512000",""
"2002年","42000","長崎県","1505000",""
"2003年","42000","長崎県","1498000",""
"2004年","42000","長崎県","1490000",""
"2005年","42000","長崎県","1478632",""
"2006年","42000","長崎県","1467000",""
"2007年","42000","長崎県","1455000",""
"2008年","42000","長崎県","1443000",""
"2009年","42000","長崎県","1434000",""
"2010年","42000","長崎県","1426779",""
"2011年","42000","長崎県","1418000",""
"2012年","42000","長崎県","1408000",""
"2013年","42000","長崎県","1397000",""
"2014年","42000","長崎県","1387000",""
"2015年","42000","長崎県","1377187",""
"2016年","42000","長崎県","1367000",""
"2017年","42000","長崎県","1355000",""
"2018年","42000","長崎県","1341000",""
"2019年","42000","長崎県","1327000",""
"2020年","42000","長崎県","1312317",""
"2021年","42000","長崎県","1297000",""
"2022年","42000","長崎県","1283000",""
"2023年","42000","長崎県","1267000",""
"2024年","42000","長崎県","1252000",""
"2025年","42000","長崎県","1232190","速報"
"1975年","43000","熊本県","1715273",""
"1976年","43000","熊本県","1731000",""
"1977年","43000","熊本県","1747000",""
"1978年","43000","熊本県","1763000",""
"1979年","43000","熊本県","1777000",""
"1980年","43000","熊本県","1790327",""
"1981年","43000","熊本県","1802000",""
"1982年","43000","熊本県","1811000",""
"1983年","43000","熊本県","1820000",""
"1984年","43000","熊本県","1830000",""
"1985年","43000","熊本県","1837747",""
"1986年","43000","熊本県","1840000",""
"1987年","43000","熊本県","1842000",""
"1988年","43000","熊本県","1842000",""
"1989年","43000","熊本県","1841000",""
"1990年","43000","熊本県","1840326",""
"1991年","43000","熊本県","1844000",""
"1992年","43000","熊本県","1846000",""
"1993年","43000","熊本県","1850000",""
"1994年","43000","熊本県","1855000",""
"1995年","43000","熊本県","1859793",""
"1996年","43000","熊本県","1861000",""
"1997年","43000","熊本県","1861000",""
"1998年","43000","熊本県","1862000",""
"1999年","43000","熊本県","1861000",""
"2000年","43000","熊本県","1859344",""
"2001年","43000","熊本県","1860000",""
"2002年","43000","熊本県","1857000",""
"2003年","43000","熊本県","1852000",""
"2004年","43000","熊本県","1848000",""
"2005年","43000","熊本県","1842233",""
"2006年","43000","熊本県","1838000",""
"2007年","43000","熊本県","1832000",""
"2008年","43000","熊本県","1826000",""
"2009年","43000","熊本県","1821000",""
"2010年","43000","熊本県","1817426",""
"2011年","43000","熊本県","1813000",""
"2012年","43000","熊本県","1807000",""
"2013年","43000","熊本県","1801000",""
"2014年","43000","熊本県","1795000",""
"2015年","43000","熊本県","1786170",""
"2016年","43000","熊本県","1775000",""
"2017年","43000","熊本県","1767000",""
"2018年","43000","熊本県","1759000",""
"2019年","43000","熊本県","1749000",""
"2020年","43000","熊本県","1738301",""
"2021年","43000","熊本県","1728000",""
"2022年","43000","熊本県","1718000",""
"2023年","43000","熊本県","1709000",""
"2024年","43000","熊本県","1697000",""
"2025年","43000","熊本県","1678090","速報"
"1975年","44000","大分県","1190314",""
"1976年","44000","大分県","1199000",""
"1977年","44000","大分県","1207000",""
"1978年","44000","大分県","1215000",""
"1979年","44000","大分県","1223000",""
"1980年","44000","大分県","1228913",""
"1981年","44000","大分県","1234000",""
"1982年","44000","大分県","1239000",""
"1983年","44000","大分県","1243000",""
"1984年","44000","大分県","1248000",""
"1985年","44000","大分県","1250214",""
"1986年","44000","大分県","1249000",""
"1987年","44000","大分県","1247000",""
"1988年","44000","大分県","1243000",""
"1989年","44000","大分県","1240000",""
"1990年","44000","大分県","1236942",""
"1991年","44000","大分県","1235000",""
"1992年","44000","大分県","1233000",""
"1993年","44000","大分県","1231000",""
"1994年","44000","大分県","1232000",""
"1995年","44000","大分県","1231306",""
"1996年","44000","大分県","1230000",""
"1997年","44000","大分県","1228000",""
"1998年","44000","大分県","1226000",""
"1999年","44000","大分県","1224000",""
"2000年","44000","大分県","1221140",""
"2001年","44000","大分県","1220000",""
"2002年","44000","大分県","1219000",""
"2003年","44000","大分県","1217000",""
"2004年","44000","大分県","1214000",""
"2005年","44000","大分県","1209571",""
"2006年","44000","大分県","1207000",""
"2007年","44000","大分県","1206000",""
"2008年","44000","大分県","1204000",""
"2009年","44000","大分県","1200000",""
"2010年","44000","大分県","1196529",""
"2011年","44000","大分県","1192000",""
"2012年","44000","大分県","1186000",""
"2013年","44000","大分県","1180000",""
"2014年","44000","大分県","1173000",""
"2015年","44000","大分県","1166338",""
"2016年","44000","大分県","1160000",""
"2017年","44000","大分県","1152000",""
"2018年","44000","大分県","1143000",""
"2019年","44000","大分県","1134000",""
"2020年","44000","大分県","1123852",""
"2021年","44000","大分県","1114000",""
"2022年","44000","大分県","1107000",""
"2023年","44000","大分県","1096000",""
"2024年","44000","大分県","1085000",""
"2025年","44000","大分県","1076875","速報"
"1975年","45000","宮崎県","1085055",""
"1976年","45000","宮崎県","1100000",""
"1977年","45000","宮崎県","1114000",""
"1978年","45000","宮崎県","1127000",""
"1979年","45000","宮崎県","1141000",""
"1980年","45000","宮崎県","1151587",""
"1981年","45000","宮崎県","1158000",""
"1982年","45000","宮崎県","1166000",""
"1983年","45000","宮崎県","1170000",""
"1984年","45000","宮崎県","1173000",""
"1985年","45000","宮崎県","1175543",""
"1986年","45000","宮崎県","1174000",""
"1987年","45000","宮崎県","1174000",""
"1988年","45000","宮崎県","1173000",""
"1989年","45000","宮崎県","1172000",""
"1990年","45000","宮崎県","1168907",""
"1991年","45000","宮崎県","1167000",""
"1992年","45000","宮崎県","1167000",""
"1993年","45000","宮崎県","1171000",""
"1994年","45000","宮崎県","1174000",""
"1995年","45000","宮崎県","1175819",""
"1996年","45000","宮崎県","1177000",""
"1997年","45000","宮崎県","1175000",""
"1998年","45000","宮崎県","1173000",""
"1999年","45000","宮崎県","1172000",""
"2000年","45000","宮崎県","1170007",""
"2001年","45000","宮崎県","1168000",""
"2002年","45000","宮崎県","1165000",""
"2003年","45000","宮崎県","1162000",""
"2004年","45000","宮崎県","1159000",""
"2005年","45000","宮崎県","1153042",""
"2006年","45000","宮崎県","1150000",""
"2007年","45000","宮崎県","1146000",""
"2008年","45000","宮崎県","1141000",""
"2009年","45000","宮崎県","1138000",""
"2010年","45000","宮崎県","1135233",""
"2011年","45000","宮崎県","1130000",""
"2012年","45000","宮崎県","1125000",""
"2013年","45000","宮崎県","1119000",""
"2014年","45000","宮崎県","1112000",""
"2015年","45000","宮崎県","1104069",""
"2016年","45000","宮崎県","1097000",""
